Company Name,Ticker
KBS US PRIME PROPERTY MANAGEMENT PTE. LTD.,PRIME US REIT (SGX:OXMU)
KENCANA AGRI LIMITED,KENCANA AGRI LIMITED (SGX:BNE)
KEONG HONG HOLDINGS LIMITED,KEONG HONG HOLDINGS LIMITED (SGX:5TT)
KEPPEL CORPORATION LIMITED,KEPPEL CORPORATION LIMITED (SGX:BN4)
LCT HOLDINGS LIMITED,LCT HOLDINGS LIMITED (SGX:BJL)
LEADER ENVIRONMENTAL TECHNOLOGIES LIMITED,LEADER ENVIRONMENTAL TECH LTD (SGX:LS9)
LERENO BIO-CHEM LTD.,LERENO BIO-CHEM LTD. (SGX:42H)
LHN LIMITED,LHN LIMITED (SGX:41O)
LIAN BENG GROUP LTD,LIAN BENG GROUP LTD (SGX:L03)
LIBRA GROUP LIMITED,LIBRA GROUP LIMITED (SGX:5TR)
LIFEBRANDZ LTD.,LIFEBRANDZ LTD. (SGX:L20)
LION ASIAPAC LIMITED,LION ASIAPAC LTD (SGX:BAZ)
LOW KENG HUAT,LOW KENG HUAT (SINGAPORE) LTD (SGX:F1E)
LUXKING GROUP HOLDINGS LIMITED,LUXKING GROUP HOLDINGS LIMITED (SGX:BKK)
LY CORPORATION LIMITED,LY CORPORATION LIMITED (SGX:1H8)
M DEVELOPMENT LTD.,M DEVELOPMENT LTD. (SGX:N14)
MANHATTAN RESOURCES LIMITED,MANHATTAN RESOURCES LIMITED (SGX:L02)
MANUFACTURING INTEGRATION TECHNOLOGY LTD.,MFG INTEGRATION TECHNOLOGY LTD (SGX:M11)
MARCO POLO MARINE LTD.,MARCO POLO MARINE LTD. (SGX:5LY)
MAXI-CASH FINANCIAL SERVICES CORPORATION LTD.,MAXI-CASH FIN SVCS CORP LTD (SGX:5UF)
MEDI LIFESTYLE LIMITED,MEDI LIFESTYLE LIMITED (SGX:5TN)
MEDTECS INTERNATIONAL CORP LTD,MEDTECS INTERNATIONAL CORP LTD (SGX:546)
MEGHMANI ORGANICS LIMITED,MEGHMANI ORGANICS LIMITED (SGX:M30)
MEGROUP LTD.,MEGROUP LTD. (SGX:SJY)
